sample_id,sample_barcode,collection_label,analysis,project,site_code,transect_name,site_name,collection_date,distance,collection_time,sample_type,habitat,host,trophic,site_type,metadata,lat,long,processing,notes
WMEA_03241_NA_NA,03241,Blank 1.5,MSandDNA,Keck,NA,Lab,Lab,20191620,NA,NA,"Control
",NA,NA,NA,NA,Blank sterivex filter from june 20 marine sampling,NA,NA,,
WMEA_03242_NA_NA,03242,Blank 2.5,MSandDNA,Keck,NA,Lab,Lab,20191621,NA,NA,"Control
",NA,NA,NA,NA,Blank sterivex filter from june 21 marine sampling,NA,NA,,
WMEA_03426_NA_NA,03426,ExtractionPlate21Neg,DNA,SuperTransect,NA,Lab,Lab,NA,NA,NA,NegativeControl,NA,NA,NA,NA,Empty mobio extraction tube,NA,NA,NA,Empty mobio extraction tube
WMEA_03427_NA_NA,03427,ExtractionPlate22Neg,DNA,SuperTransect,NA,Lab,Lab,NA,NA,NA,NegativeControl,NA,NA,NA,NA,Empty mobio extraction tube,NA,NA,NA,Empty mobio extraction tube
WMEA_03428_NA_NA,03428,ExtractionPlate23Neg,DNA,SuperTransect,NA,Lab,Lab,NA,NA,NA,NegativeControl,NA,NA,NA,NA,Empty mobio extraction tube,NA,NA,NA,Empty mobio extraction tube
WMEA_03429_NA_NA,03429,ExtractionPlate24Neg,DNA,SuperTransect,NA,Lab,Lab,NA,NA,NA,NegativeControl,NA,NA,NA,NA,Empty mobio extraction tube,NA,NA,NA,Empty mobio extraction tube
WMEA_03430_NA_NA,03430,ExtractionPlate25Neg,DNA,SuperTransect,NA,Lab,Lab,NA,NA,NA,NegativeControl,NA,NA,NA,NA,Empty mobio extraction tube,NA,NA,NA,Empty mobio extraction tube
WMEA_03439_NA_NA,03439,BLANK,DNA,SuperTransect,NA,Lab,Lab,NA,NA,NA,NegativeControl,NA,NA,NA,NA,blank water filters,NA,NA,NA,
WMEA_03440_NA_NA,03440,BLANK1,DNA,SuperTransect,NA,Lab,Lab,NA,NA,NA,NegativeControl,NA,NA,NA,NA,blank water filters,NA,NA,NA,
WMEA_03441_NA_NA,03441,BLANK2,DNA,SuperTransect,NA,Lab,Lab,NA,NA,NA,NegativeControl,NA,NA,NA,NA,blank water filters,NA,NA,NA,
