	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-ConsensusClassification	9-Clustering_97	10-TaxaFilter_97	11-MultipletonsFilter_97	12-Subsampling_97	13-Lulu_97	14-RareSeqsFilter_97
105081	43937	35679	35679	35679 (19874 uniques)	33507 (827 uniques)	28583 (642 uniques)	28570 (620 uniques)	28556 (619 uniques)	28556 (619 uniques)	28556 (619 uniques)	28556 (491 uniques)	28358 (481 uniques)	28358 (481 uniques)	3700 (418 uniques)	3700 (418 uniques)	3683 (405 uniques)
105082	29884	23470	23470	23470 (8844 uniques)	21942 (233 uniques)	20289 (158 uniques)	20289 (151 uniques)	20207 (145 uniques)	20207 (145 uniques)	20207 (145 uniques)	20207 (128 uniques)	4743 (115 uniques)	4743 (115 uniques)	3700 (115 uniques)	3700 (115 uniques)	3700 (115 uniques)
105083	51953	41559	41559	41559 (18750 uniques)	38139 (641 uniques)	34803 (451 uniques)	34803 (436 uniques)	34604 (427 uniques)	34604 (427 uniques)	34604 (427 uniques)	34604 (368 uniques)	33948 (333 uniques)	33948 (333 uniques)	3700 (231 uniques)	3700 (231 uniques)	3668 (204 uniques)
105084	55143	44058	44058	44058 (25455 uniques)	41113 (1055 uniques)	33393 (802 uniques)	33393 (765 uniques)	33391 (764 uniques)	33391 (764 uniques)	33391 (764 uniques)	33391 (585 uniques)	33234 (574 uniques)	33234 (574 uniques)	3700 (486 uniques)	3700 (486 uniques)	3682 (472 uniques)
105085	52913	42488	42488	42488 (13263 uniques)	41681 (215 uniques)	40406 (194 uniques)	40341 (178 uniques)	39910 (154 uniques)	39910 (154 uniques)	39910 (154 uniques)	39910 (112 uniques)	21674 (92 uniques)	21674 (92 uniques)	3700 (84 uniques)	3700 (84 uniques)	3694 (80 uniques)
105086	37578	30318	30318	30318 (17403 uniques)	28241 (951 uniques)	23510 (686 uniques)	23448 (677 uniques)	23448 (677 uniques)	23448 (677 uniques)	23448 (677 uniques)	23448 (577 uniques)	22615 (556 uniques)	22615 (556 uniques)	3700 (476 uniques)	3700 (476 uniques)	3673 (457 uniques)
105087	47146	37639	37639	37639 (19895 uniques)	35680 (844 uniques)	31090 (680 uniques)	31079 (653 uniques)	31057 (651 uniques)	31057 (651 uniques)	31057 (651 uniques)	31057 (498 uniques)	30650 (486 uniques)	30650 (486 uniques)	3700 (432 uniques)	3700 (432 uniques)	3670 (409 uniques)
105088	557	126	126	126 (114 uniques)	30 (2 uniques)	30 (2 uniques)	30 (2 uniques)	30 (2 uniques)	30 (2 uniques)	30 (2 uniques)	30 (2 uniques)	0 (0 uniques)	0 (0 uniques)	/	/	/
105089	48892	38231	38231	38231 (16664 uniques)	35527 (494 uniques)	33080 (369 uniques)	33057 (352 uniques)	32963 (348 uniques)	32963 (348 uniques)	32963 (348 uniques)	32963 (297 uniques)	31363 (264 uniques)	31363 (264 uniques)	3700 (192 uniques)	3700 (192 uniques)	3687 (179 uniques)
105090	29766	24732	24732	24732 (14922 uniques)	22478 (692 uniques)	17666 (502 uniques)	17661 (487 uniques)	17654 (486 uniques)	17654 (486 uniques)	17654 (486 uniques)	17654 (396 uniques)	17498 (389 uniques)	17498 (389 uniques)	3700 (370 uniques)	3700 (370 uniques)	3687 (360 uniques)
105091	32288	25838	25838	25838 (14590 uniques)	23326 (613 uniques)	19363 (372 uniques)	19359 (364 uniques)	19359 (364 uniques)	19359 (364 uniques)	19359 (364 uniques)	19359 (345 uniques)	17870 (333 uniques)	17870 (333 uniques)	3700 (287 uniques)	3700 (287 uniques)	3668 (257 uniques)
105092	39665	32532	32532	32532 (7277 uniques)	32076 (43 uniques)	28615 (47 uniques)	28583 (39 uniques)	28583 (39 uniques)	28583 (39 uniques)	28583 (39 uniques)	28583 (29 uniques)	28456 (21 uniques)	28456 (21 uniques)	3700 (16 uniques)	3700 (16 uniques)	3700 (16 uniques)
105093	30974	24318	24318	24318 (14228 uniques)	22563 (1077 uniques)	17473 (759 uniques)	17450 (751 uniques)	17438 (750 uniques)	17438 (750 uniques)	17438 (750 uniques)	17438 (693 uniques)	17182 (682 uniques)	17182 (682 uniques)	3700 (628 uniques)	3700 (628 uniques)	3609 (559 uniques)
105094	32116	25393	25393	25393 (6990 uniques)	24934 (28 uniques)	22490 (27 uniques)	22490 (23 uniques)	22406 (17 uniques)	22406 (17 uniques)	22406 (17 uniques)	22406 (16 uniques)	22005 (13 uniques)	22005 (13 uniques)	3700 (12 uniques)	3700 (12 uniques)	3700 (12 uniques)
105095	51859	40365	40365	40365 (12432 uniques)	39709 (74 uniques)	38721 (97 uniques)	38721 (67 uniques)	38657 (64 uniques)	38657 (64 uniques)	38657 (64 uniques)	38657 (36 uniques)	38356 (33 uniques)	38356 (33 uniques)	3700 (21 uniques)	3700 (21 uniques)	3699 (20 uniques)
105096	34129	27728	27728	27728 (18156 uniques)	25126 (717 uniques)	19031 (508 uniques)	19031 (495 uniques)	19031 (495 uniques)	19031 (495 uniques)	19031 (495 uniques)	19031 (410 uniques)	18980 (407 uniques)	18980 (407 uniques)	3700 (389 uniques)	3700 (389 uniques)	3697 (387 uniques)
105097	50180	40058	40058	40058 (18152 uniques)	37033 (597 uniques)	34188 (417 uniques)	34167 (399 uniques)	34045 (396 uniques)	34045 (396 uniques)	34045 (396 uniques)	34045 (342 uniques)	32837 (291 uniques)	32837 (291 uniques)	3700 (210 uniques)	3700 (210 uniques)	3687 (198 uniques)
105098	36162	29219	29219	29219 (12936 uniques)	27274 (412 uniques)	23987 (269 uniques)	23979 (260 uniques)	23959 (258 uniques)	23959 (258 uniques)	23959 (258 uniques)	23959 (220 uniques)	8918 (212 uniques)	8918 (212 uniques)	3700 (207 uniques)	3700 (207 uniques)	3695 (203 uniques)
105099	42402	27650	27650	27650 (15195 uniques)	26324 (1176 uniques)	22579 (936 uniques)	22541 (927 uniques)	22531 (926 uniques)	22531 (926 uniques)	22531 (926 uniques)	22531 (827 uniques)	20784 (788 uniques)	20784 (788 uniques)	3700 (714 uniques)	3700 (714 uniques)	3600 (643 uniques)
105100	27546	21583	21583	21583 (14093 uniques)	19492 (858 uniques)	13571 (544 uniques)	13571 (542 uniques)	13571 (542 uniques)	13571 (542 uniques)	13571 (542 uniques)	13571 (506 uniques)	13446 (498 uniques)	13446 (498 uniques)	3700 (463 uniques)	3700 (463 uniques)	3664 (438 uniques)
105101	42326	34065	34065	34065 (15837 uniques)	32151 (620 uniques)	28558 (448 uniques)	28558 (433 uniques)	28541 (431 uniques)	28541 (431 uniques)	28541 (431 uniques)	28541 (359 uniques)	17141 (346 uniques)	17141 (346 uniques)	3700 (310 uniques)	3700 (310 uniques)	3680 (295 uniques)
105102	39883	33126	33126	33126 (12354 uniques)	32575 (150 uniques)	31921 (159 uniques)	31921 (146 uniques)	31697 (136 uniques)	31697 (136 uniques)	31697 (136 uniques)	31697 (86 uniques)	31575 (84 uniques)	31575 (84 uniques)	3700 (78 uniques)	3700 (78 uniques)	3700 (78 uniques)
105103	81973	62365	62365	62365 (10622 uniques)	61997 (69 uniques)	61808 (71 uniques)	61808 (65 uniques)	61715 (56 uniques)	61715 (56 uniques)	61715 (56 uniques)	61715 (36 uniques)	2017 (32 uniques)	2017 (32 uniques)	/	/	/
105104	164638	130317	130317	130317 (70390 uniques)	124930 (2037 uniques)	110578 (1803 uniques)	110521 (1687 uniques)	110392 (1679 uniques)	110392 (1679 uniques)	110392 (1679 uniques)	110392 (1117 uniques)	109548 (1078 uniques)	109548 (1078 uniques)	3700 (705 uniques)	3700 (705 uniques)	3660 (671 uniques)
105105	54599	42799	42799	42799 (17011 uniques)	40365 (361 uniques)	38458 (259 uniques)	38458 (247 uniques)	38118 (234 uniques)	38118 (234 uniques)	38118 (234 uniques)	38118 (210 uniques)	37123 (182 uniques)	37123 (182 uniques)	3700 (118 uniques)	3700 (118 uniques)	3684 (103 uniques)
105106	47558	30495	30495	30495 (16584 uniques)	28833 (652 uniques)	25402 (512 uniques)	25402 (493 uniques)	25402 (493 uniques)	25402 (493 uniques)	25402 (493 uniques)	25402 (393 uniques)	25338 (391 uniques)	25338 (391 uniques)	3700 (350 uniques)	3700 (350 uniques)	3676 (333 uniques)
